Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
Gd2Ti2O7,,,,1.7405,0.32796,10.1957,0,,,,,,,,SP,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.013,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
Gd2(Ti1/2Zr1/2)2O7,,,,1.5894,0.32776,10.3856,8.6793,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.014,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
Gd2(Ti1/3Zr1/3Sn1/3)2O7,,,,1.5677,0.3332,10.41183,7.2514,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.015,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
Gd2(Ti1/4Zr1/4Sn1/4Hf1/4)2O7,,,,1.5457,0.33727,10.4426,6.6538,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.016,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
Gd2(Ti1/5Zr1/5Sn1/5Hf1/5Ce1/5)2O7,,,,1.4645,,,6.504,,,,,,,,M,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.017,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
Gd2(Ti1/5Zr1/5Sn1/5Hf1/5Nb1/5)2O7,,,,1.5646,,,11.9189,,,,,,,,M,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.018,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Eu1/2Gd1/2)2Ti2O7,,,,1.7512,0.33319,10.39893,0.6135,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.019,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Eu1/2Gd1/2)2(Ti1/2Zr1/2)2O7,,,,1.5992,0.33864,10.3981,8.7009,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.020,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Eu1/2Gd1/2)2(Ti1/3Zr1/3Sn1/3)2O7,,,,1.5774,0.34244,10.42075,7.2773,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.021,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Eu1/2Gd1/2)2(Ti1/4Zr1/4Sn1/4Hf1/4)2O7,,,,1.5552,0.33743,10.42595,6.682,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.022,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Sm1/3Eu1/3Gd1/3)2Ti2O7,,,,1.6091,0.33404,10.42263,8.7362,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.023,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Sm1/3Eu1/3Gd1/3)2(Ti1/2Zr1/2)2O7,,,,1.5871,0.3408,10.43198,7.3195,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.024,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Sm1/3Eu1/3Gd1/3)2(Ti1/3Zr1/3Sn1/3)2O7,,,,1.5648,0.33982,10.45474,6.7278,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.025,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(La1/7Nd1/7Sm1/7Eu1/7Gd1/7Dy1/7Ho1/7)2(Ti1/4Zr1/4Sn1/4Hf1/4)2O7,,,,1.5725,0.32918,10.48606,7.9172,,,,,,,,P,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2021.01.026,Preparation and phase evolution of high-entropy oxides A2B2O7 with multiple elements at A and B sites ,2021,,,,
(Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7,,,,1.43,,5.192,,25.3,,4.7,9.12,,,,P,,,,,,,,10.68,0.93*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.054,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
Y2Hf2O7,,,,1.44,,5.201,,,,,7.63,,,,F,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.055,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
Gd2Hf2O7,,,,1.48,,5.258,,,,,8.95,,,,F,,,,,,,,11.6,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.056,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
Dy2Hf2O7,,,,1.45,,5.218,,,,,9.28,,,,F,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.057,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
Er2Hf2O7,,,,1.41,,5.189,,,,,9.55,,,,F,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.058,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
Yb2Hf2O7,,,,1.39,,5.16,,,,,9.85,,,,F,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jmst.2021.05.059,High-entropy (Y0.2Gd0.2Dy0.2Er0.2Yb0.2)2Hf2O7 ceramic: A promising thermal barrier coating material,2021,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.5Hf0.5)2O7,,,,1.491,,10.571,,,,7.76,,97,,,P,,,,10.88,236.5,2.40*,,10.77,1.64,,,,,,,https://doi.org/10.1007/s40145-022-0605-3,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.75Hf0.25)2O7,,,,1.486,,10.588,,,,7.2,,97,,,P,,,,11.51,250.1,2.31,,11.2,1.53,,,,,,,https://doi.org/10.1007/s40145-022-0605-4,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2Zr2O7​,,,,1.481,,10.608,,,,6.74,,97,,,F,,,,11.0*,,2.38*,,10.99,,,,,,,,https://doi.org/10.1007/s40145-022-0605-5,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.95Ce0.05)2O7,,,,1.465,,10.725,,,,6.66,,96.8,,,F+P,,,,10.23,221.3,2.34*,,11.13,1.48,,,,,,,https://doi.org/10.1007/s40145-022-0605-6,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.85Ce0.15)2O7,,,,1.43,,10.6,,,,6.69,6.91,96.8,,,P,,,,10.23,221,2.30*,,10.81,,,,,,,,https://doi.org/10.1007/s40145-022-0605-7,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.75Ce0.25)2O7,,,,1.407,,5.317,,,,6.78,6.95,97.6,,,F,,,,10.77,,2.56*,,11.02,,,,,,,,https://doi.org/10.1007/s40145-022-0605-8,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
(La0.25Eu0.25Gd0.25Yb0.25)2(Zr0.5Ce0.5)2O7,,,,1.34,,5.287,,,,6.81,7.34,92.7,,,F,,,,10.74,,2.30*,,10.83,,,,,,,,https://doi.org/10.1007/s40145-022-0605-9,Influence of order-disorder transition on the mechanical and thermophysical properties of A2B2O7 high-entropy ceramics,2022,,,,
La2Zr2O7,,,,1.611,,10.808,0,,,,,100,,,SP,,,,,,,,9.27*,2.20*,,,,,,,10.1016/j.actamat.2025.121563,"Maximized cation size disorder driven phonon engineering in high-entropy pyrochlores of La2(Zr,Ce,Hf,Sn,Ti)2O7 ",2025,,,,
La2(Zr0.3Ce0.2Hf0.2Sn0.2Ti0.1)2O7,,,,1.584,,10.809,10.385,,,,,100,,,P,,220.2,113.8,,291.3,,,10.06,1.91,0.349*,0.80*,,0.28,,,10.1016/j.actamat.2025.121564,"Maximized cation size disorder driven phonon engineering in high-entropy pyrochlores of La2(Zr,Ce,Hf,Sn,Ti)2O7 ",2025,,,,
La2(Zr0.4Ce0.2Hf0.1Sn0.2Ti0.1)2O7,,,,1.581,,10.826,10.338,,,,,98.8,,,P,,202,106.5,,271.7,,,10.38,1.98,0.359*,0.83*,,0.28,,,10.1016/j.actamat.2025.121565,"Maximized cation size disorder driven phonon engineering in high-entropy pyrochlores of La2(Zr,Ce,Hf,Sn,Ti)2O7 ",2025,,,,
La2(Zr0.5Ce0.2Hf0.1Sn0.1Ti0.1)2O7,,,,1.579,,10.822,10.29,,,,,99.2,,,P,,194.7,96.8,,249.1,,,10.45,1.74,0.369*,0.73*,,0.29,,,10.1016/j.actamat.2025.121566,"Maximized cation size disorder driven phonon engineering in high-entropy pyrochlores of La2(Zr,Ce,Hf,Sn,Ti)2O7 ",2025,,,,
(Sc0.2Y0.2La0.2Ce0.2Pr0.2)2Zr2O7,,,,,,,,,,,,,,,P,,,,,,,,,1.69,,,,,,,10.1016/j.jmst.2023.05.060,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
Ce2Zr2O7,,,,,,,,,,,,,,,SP,,,,,,,,,3.00*,,,,,,,10.1016/j.jmst.2023.05.061,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
Sc2Zr2O7,,,,,,,,,,,,,,,SP,,,,,,,,,2.17*,,,,,,,10.1016/j.jmst.2023.05.062,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
Y2Zr2O7,,,,,,,,,,,,,,,SP,,,,,,,,,2.15*,,,,,,,10.1016/j.jmst.2023.05.063,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
Pr2Zr2O7,,,,,,,,,,,,,,,SP,,,,,,,,,1.90*,,,,,,,10.1016/j.jmst.2023.05.064,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
La2Zr2O7,,,,,,,,,,,,,,,SP,,,,,,,,,1.85*,,,,,,,10.1016/j.jmst.2023.05.065,Discovering the ultralow thermal conductive A2B2O7-type high-entropy oxides through the hybrid knowledge-assisted data-driven machine learning,2023,,,,
La₂Zr₂O₇,,,,,,10.83*,,,,,,,,,SP,,,,9.85*,231.6*,2.00*,0.00000910*,,3.15*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.024,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
(La₅/₆Yb₁/₆)₂Zr₂O₇,,,,,,10.77*,,,,,,,,,P,,,,10.80*,233.5*,2.07*,0.00000935*,,1.24*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.025,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
(La₂/₃Yb₁/₃)₂Zr₂O₇,,,,,,10.75*,,,,,,,,,P,,,,12.20*,223.8*,2.22*,0.00000956*,,1.29*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.026,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
LaYbZr₂O₇,,,,,,10.74*,,,,,,,,,F+P,,,,13.00*,222.8*,2.23*,0.00000979*,,1.33*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.027,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
(La₁/₃Yb₂/₃)₂Zr₂O₇,,,,,,10.73*,,,,,,,,,F+P,,,,11.45*,229.3*,2.23*,0.00001020*,,1.42*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.028,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
(La₁/₆Yb₅/₆)₂Zr₂O₇,,,,,,10.43*,,,,,,,,,F,,,,12.70*,232.3*,2.13*,0.00001045*,,1.61*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.029,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
Yb₂Zr₂O₇,,,,,,10.35*,,,,,,,,,F,,,,13.20*,237.6*,2.10*,0.00001102*,,1.88*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2015.04.030,Mechanical and thermal properties of fine-grained quasi-eutectoid (La1−xYbx)2Zr2O7 ceramics ,2015,,,,
Sm₂Ti₂O₇,,,,,,10.23,,,,6.12,,99.4,,,SP,,,,10.6,,,,,1.72*,0.345*,1.05*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.012,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
Gd₂Ti₂O₇,,,,,,10.189,,,,6.4,,99.5,,,SP,,,,10.6,,,,,1.34*,0.308*,0.79*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.013,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
Dy₂Ti₂O₇,,,,,,10.078,,,,6.69,,99.4,,,SP,,,,11.4,,,,,1.70*,0.318*,1.01*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.014,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
Er₂Ti₂O₇,,,,,,10.073,,,,6.9,,99.3,,,SP,,,,12.8,,,,,1.57*,0.314*,0.95*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.015,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
Yb₂Ti₂O₇,,,,,,10.042,,,,6.92,,99.6,,,SP,,,,12.1,,,,,1.45*,0.315*,0.75*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.016,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"(Sm,Yb)₂Ti₂O₇",,,,,,10.136,,,,6.51,,99.4,,,P,,,,12.2,,,,,1.40*,0.325*,0.86*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.017,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"(Sm,Gd,Yb)₂Ti₂O₇",,,,,,10.153,,,,6.55,,99.5,,,P,,,,11.8,,,,,1.47*,0.316*,0.84*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.018,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"(Sm,Gd,Er,Yb)₂Ti₂O₇",,,,,,10.133,,,,6.61,,99.1,,,P,,,,12.2,,,,,1.45*,0.318*,0.87*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.019,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"(Sm,Gd,Dy,Er,Yb)₂Ti₂O₇",,,,,,10.13,,,,6.6,,99,,,P,,,,9.9,,,,,1.54*,0.321*,0.90*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.020,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
(Yb₀.₉₅U₀.₀₅)₂Ti₂O₇,,,,,,10.05,,,,6.95,,99.2,,,P,,,,10.7,,,,,1.38*,0.306*,0.75*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.021,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"((Sm,Yb)₀.₉₅U₀.₀₅)₂Ti₂O₇",,,,,,10.136,,,,6.8,,98.9,,,P,,,,9.2,,,,,1.38*,0.314*,0.74*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.022,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"((Sm,Gd,Yb)₀.₉₅U₀.₀₅)₂Ti₂O₇",,,,,,10.235,,,,6.52,,98.7,,,P,,,,9.6,,,,,1.44*,0.311*,0.85*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.023,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"((Sm,Gd,Er,Yb)₀.₉₅U₀.₀₅)₂Ti₂O₇",,,,,,10.155,,,,6.4,,99.1,,,P,,,,10,,,,,1.47*,0.312*,0.78*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.024,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
"((Sm,Gd,Dy,Er,Yb)₀.₉₅U₀.₀₅)₂Ti₂O₇",,,,,,10.083,,,,6.74,,99.1,,,P,,,,8.8,,,,,1.55*,0.315*,0.85*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2020.12.025,Multicomponent pyrochlore solid solutions with uranium incorporation – A new perspective of materials design for nuclear applications,2020,,,,
((La0.25Nd0.25Sm0.25Gd0.25)0.75Yb0.25)2Zr2O7,,,,,,,,52.72,,,,,,,P,,,,,,,,,0.22,,,,,,,https://doi-org.utk.idm.oclc.org/10.1111/jace.18415,Synthesis of ultra-fine rare-earth-zirconate high-entropy ceramic fibers via electrospinning,2022,,,,
(La₀.₂Sm₀.₂Y₀.₂Pr₀.₂Gd₀.₂)₂(Zr₀.₈Ce₀.₂)₂O₇,,,,,,10.685,,4.265,,,6.368,,,,F,,,,,,,,,1.40*,0.420*,0.520*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.corsci.2023.111199,Fluorite-pyrochlore structured high-entropy oxides: Tuning the ratio of B-site cations for resistance to CMAS corrosion,2023,,,,
(La₀.₂Sm₀.₂Y₀.₂Pr₀.₂Gd₀.₂)₂(Zr₀.₅Ce₀.₅)₂O₇,,,,,,5.3864,,6.674,,,6.525,,,,F,,,,,,,,,1.74*,0.403*,0.635*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.corsci.2023.111200,Fluorite-pyrochlore structured high-entropy oxides: Tuning the ratio of B-site cations for resistance to CMAS corrosion,2023,,,,
(La₀.₂Sm₀.₂Y₀.₂Pr₀.₂Gd₀.₂)₂(Zr₀.₂Ce₀.₈)₂O₇,,,,,,5.4287,,7.94,,,6.678,,,,F,,,,,,,,,2.02*,0.388*,0.795*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.corsci.2023.111201,Fluorite-pyrochlore structured high-entropy oxides: Tuning the ratio of B-site cations for resistance to CMAS corrosion,2023,,,,
(La₀.₂Sm₀.₂Y₀.₂Pr₀.₂Gd₀.₂)₂Ce₂O₇,,,,,,5.4604,,9.452,,,6.762,,,,F,,,,,,,,,2.50*,0.380*,0.990*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.corsci.2023.111202,Fluorite-pyrochlore structured high-entropy oxides: Tuning the ratio of B-site cations for resistance to CMAS corrosion,2023,,,,
"(Sc1/2,Gd1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.962,0.678,1.417,,5.0981,,0.77,,6.539,6.59,99.23,,,F,,,,,,,0.0000055*,10.3*,1.46*,0.40*,0.58*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.177,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc1/2,Dy1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.949,0.678,1.398,,5.0772,,3.95,,6.472,6.738,96.05,,,F,,,,,,,0.0000032*,11.0*,1.55*,0.40*,0.55*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.178,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc1/2,Ho1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.943,0.678,1.389,,5.0693,,3.02,,6.596,6.801,96.98,,,F,,,,,,,0.0000056*,10.9*,1.47*,0.39*,0.57*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.179,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc1/2,Er1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.937,0.678,1.381,,5.0624,,3.01,,6.652,6.859,96.99,,,F,,,,,,,0.0000056*,11.0*,1.53*,0.39*,0.56*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.180,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc1/2,Tm1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.932,0.678,1.374,,5.0542,,3.75,,6.653,6.913,96.25,,,F,,,,,,,0.0000053*,11.0*,1.50*,0.40*,0.56*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.181,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc1/2,Yb1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.928,0.678,1.367,,5.0489,,3.17,,6.767,6.988,96.83,,,F,,,,,,,0.0000050*,10.9*,1.56*,0.41*,0.57*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.182,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
"(Sc(1/2,Lu(1/2)2(Ti1/3,Zr1/3,Hf1/3)2O7",,0.924,0.678,1.361,,5.0445,,3.48,,6.786,7.031,96.52,,,F,,,,,,,0.0000053*,11.0*,1.44*,0.36*,0.58*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.11.183,Optimizing thermal insulation in thermal barrier coatings with defect-fluorite-structured high-entropy oxides,2025,,,,
(Ho0.2Y0.2Dy0.2Gd0.2Eu0.2)2Ti2O7,,,,,,,,,,,,96.3,,,P,,,,15.9*,295.5*,1.596,0.0000116,,0.947,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2023.06.024,High-entropy (Ho0.2Y0.2Dy0.2Gd0.2Eu0.2)2Ti2O7/TiO2 composites with excellent mechanical and thermal properties,2023,,,,
La₂Zr₂O₇,,,,,,10.795,,,,,,,,,SP,,,,,,0.87,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.05.176,"Effect of multi-component rare-earth doping on maintaining structure stability of RE2Zr2O7 (RE = La, Sm, Gd, Y, Yb) coatings under thermal cycling ",2023,,,,
(La₁/₃Sm₁/₃Yb₁/₃)₂Zr₂O₇,,,,1.4968,,10.653,,,,,,,,,P,,,,,,0.96,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.05.177,"Effect of multi-component rare-earth doping on maintaining structure stability of RE2Zr2O7 (RE = La, Sm, Gd, Y, Yb) coatings under thermal cycling ",2023,,,,
(La₁/₃Gd₁/₃Y₁/₃)₂Zr₂O₇,,,,1.4926,,10.697,,,,,,,,,P,,,,,,0.94,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.05.178,"Effect of multi-component rare-earth doping on maintaining structure stability of RE2Zr2O7 (RE = La, Sm, Gd, Y, Yb) coatings under thermal cycling ",2023,,,,
(La₁/₅Sm₁/₅Y₁/₅Gd₁/₅Yb₁/₅)₂Zr₂O₇,,,,1.4714,,10.603,,,,,,,,,P,,,,,,1.01,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.05.179,"Effect of multi-component rare-earth doping on maintaining structure stability of RE2Zr2O7 (RE = La, Sm, Gd, Y, Yb) coatings under thermal cycling ",2023,,,,
(Sm₀.₂Eu₀.₂Tb₀.₂Dy₀.₂Lu₀.₂)₂Zr₂O₇,,1.038,0.72,1.441,,,,,,,,99,,,P,,,,12.42,,2.24,,11,1.46*,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117589,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
(La₀.₂Ce₀.₂Pr₀.₂Sm₀.₂Eu₀.₂)₂Hf₂O₇,,1.115,0.71,1.57,,,,,,,,99,,,P,,,,,,,,11.65,1.24*,,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117590,Novel (La0.2Ce0.2Pr0.2Nd0.2Gd0.2)2Hf2O7 high-entropy pyrochlore oxide as a promising TBC material ,2025,,,,
