CollectionCode,HMS,StructuredFormula,StructureType,Reference,CellParameter,Temperature,ANXFormula,ChemicalName,MineralGroup,MineralSuperGroup,CalculatedDensity(g/cm3),PublicationYear,Pdf,DOI or Link,
89943,F d -3 m Z,(Mn2 Er2) (Mn Sb3) O14,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.1591(6) 10.1591(6) 10.1591(6) 90. 90. 90.,293,A2B2X7,Dimanganese dierbium manganese(III) triantimony(V) oxide,,,6.9,2000,01-070-3569,,
89944,F d -3 m Z,(Mn2 Tm2) (Mn Sb3) O14,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.1515(7) 10.1515(7) 10.1515(7) 90. 90. 90.,293,A2B2X7,Dimanganese dithulium manganese(III) triantimony(V) oxide,,,6.93,2000,01-070-3570,,
89945,F d -3 m Z,(Mn2 Yb2) (Mn Sb3) O14,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.1386(8) 10.1386(8) 10.1386(8) 90. 90. 90.,293,A2B2X7,Dimanganese diytterbium manganese(III) triantimony(V) oxide,,,7.01,2000,01-070-3571,,
89946,F d -3 m Z,(Mn2 Lu2) (Mn Sb3) O14,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.1316(5) 10.1316(5) 10.1316(5) 90. 90. 90.,293,A2B2X7,Dimanganese dilutetium manganese(III) triantimony(V) oxide,,,7.05,2000,01-070-3572,,
89947,F d -3 m Z,(Mn2.01 Y1.99) (Mn1.12 Sb2.88) O13.956,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.17596(7) 10.17596(7) 10.17596(7) 90. 90. 90.,293,A2B2X7,Manganese yttrium manganese(III) antimony(V) oxide (2.01/1.99/1.12/2.88/13.96),,,5.82,2000,01-070-3573,,
89948,F d -3 m Z,(Mn1.888 Ho2.112) (Mn1.08 Sb2.92) O13.94,Ca2Nb2O7,"Chemistry of Materials (2000) 12,  p. 1217-1221",10.17913(8) 10.17913(8) 10.17913(8) 90. 90. 90.,293,A2B2X7,Manganese holmium manganese(III) antimony(V) oxide (1.89/2.11/1.08/2.92/13.94),,,6.86,2000,01-070-3574,,
90317,F d -3 m Z,Y2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.1752(3) 10.1752(3) 10.1752(3) 90. 90. 90.,293,A2B2X7,Diyttrium mangano(III)antimonate oxide,,,5.88,2000,01-070-3904,,
90318,F d -3 m Z,Sm2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.3478(1) 10.3478(1) 10.3478(1) 90. 90. 90.,293,A2B2X7,Disamarium mangano(III)antimonate oxide,,,7.07,2000,01-070-3905,,
90319,F d -3 m Z,Eu2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.316(5) 10.316(5) 10.316(5) 90. 90. 90.,293,A2B2X7,Dieuropium mangano(III)antimonate oxide,,,7.17,2000,01-070-3906,,
90320,F d -3 m Z,Gd2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.2832(2) 10.2832(2) 10.2832(2) 90. 90. 90.,293,A2B2X7,Digadolinium mangano(III)antimonate oxide,,,7.37,2000,01-070-3907,,
90321,F d -3 m Z,Tb2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.2428(1) 10.2428(1) 10.2428(1) 90. 90. 90.,293,A2B2X7,Diterbium mangano(III)antimonate oxide,,,7.5,2000,01-070-3908,,
90322,F d -3 m Z,Dy2 ((Mn Sb) O6) O,Ca2Nb2O7,"Journal of Alloys and Compounds (2000) 302,  p. 94-100",10.2151(2) 10.2151(2) 10.2151(2) 90. 90. 90.,293,A2B2X7,Didysprosium mangano(III)antimonate oxide,,,7.65,2000,01-070-3909,,
90883,F d -3 m Z,Bi2 (In Nb O7),Ca2Nb2O7,"Journal of Materials Science Letters (2000) 19,  p. 1909-1911",10.7793(2) 10.7793(2) 10.7793(2) 90. 90. 90.,293,A2B2X7,Dibismuth indioniobate,,,7.82,2000,01-070-4425,,
91077,F d -3 m Z,(Bi1.5 Nd0.5) Ru2 O6.938,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3135(3) 10.3135(3) 10.3135(3) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (1.5/0.5/2/6.94),,,8.46,2000,01-070-5789,,
91078,F d -3 m Z,(Bi1.25 Nd0.75) Ru2 O6.955,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3175(2) 10.3175(2) 10.3175(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (1.25/0.75/2/6.96),,,8.26,2000,01-070-5790,,
91079,F d -3 m Z,(Bi1.175 Nd0.825) Ru2 O6.996,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3296(2) 10.3296(2) 10.3296(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (1.17/0.83/2/7),,,8.18,2000,01-070-5791,,
91080,F d -3 m Z,(Bi1.075 Nd0.925) Ru2 O6.977,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3345(2) 10.3345(2) 10.3345(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (1.07/0.93/2/6.98),,,8.09,2000,01-070-5792,,
91081,F d -3 m Z,(Bi Nd) Ru2 O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3303(2) 10.3303(2) 10.3303(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (1/1/2/6.96),,,8.03,2000,01-070-5793,,
91082,F d -3 m Z,(Bi0.75 Nd1.25) Ru2 O6.978,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3374(2) 10.3374(2) 10.3374(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (0.75/1.25/2/6.98),,,7.83,2000,01-070-5794,,
91084,F d -3 m Z,(Bi0.25 Nd1.75) Ru2 O6.988,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3410(2) 10.3410(2) 10.3410(2) 90. 90. 90.,293,A2B2X7,Bismuth neodymium ruthenium oxide (0.25/1.75/2/6.99),,,7.43,2000,01-070-5796,,
91085,F d -3 m Z,Nd2 Ru2 O6.992,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 151,  p. 25-30",10.3433(3) 10.3433(3) 10.3433(3) 90. 90. 90.,293,A2B2X7,Neodymium ruthenium oxide (2/2/6.99),,,7.23,2000,01-070-5797,,
91261,F d -3 m Z,(Ca Nd) (Fe0.5 Nb1.5) O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2000) 154,  p. 483-487",10.4138(3) 10.4138(3) 10.4138(3) 90. 90. 90.,293,A2B2X7,Calcium neodymium iron niobium oxide (1/1/0.5/1.5/7),,,5.45,2000,01-070-5951,,
92444,F d -3 m Z,Pr2 O (Te O3)2,Ca2Nb2O7,"Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2000) 626,  p. 1285-1287",10.6718(9) 10.6718(9) 10.6718(9) 90. 90. 90.,293,A2B2X7,Dipraseodymium oxide bis(tellurate(IV)),,,7.09,2000,01-070-6905,,
92767,F d -3 m Z,Eu2 (Ti2 O7),Ca2Nb2O7,"Annales de Chimie (Cachan, France) (2001) 26, (3) p. 27-32",10.2048(6) 10.2048(6) 10.2048(6) 90 90 90,293,A2B2X7,Dieuropium dititanate,,,6.4,2001,01-070-7156,,
93770,F d -3 m Z,Y2 (Ti2 O7),Ca2Nb2O7,"Journal of Solid State Chemistry (2001) 160,  p. 25-32",10.0904(2) 10.0904(2) 10.0904(2) 90 90 90,293,A2B2X7,Diyttrium dititanate,,,4.99,2001,01-070-7909,,
96730,F d -3 m Z,Ho2 (Ru2 O7),Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2002) 66,   Article ID 052406 (p. 1-4)",10.1417(5) 10.1417(5) 10.1417(5) 90 90 90,293,A2B2X7,Diholmium diruthenate(IV),,,8.2,2002,01-072-6852,,
97533,F d -3 m Z,Er2 (Ru2 O7),Ca2Nb2O7,"Journal of Solid State Chemistry (2003) 176,  p. 165-169",10.1063(4) 10.1063(4) 10.1063(4) 90 90 90,293,A2B2X7,Dierbium diruthenate(IV),,,8.35,2003,01-072-7620,,
97991,F d -3 m Z,Bi2 In Ta O7,Ca2Nb2O7,"Materials Science Forum (2003) 423,  p. 485-490",10.7612(2) 10.7612(2) 10.7612(2) 90 90 90,293,A2B2X7,Dibismuth indium tantalum oxide,,,8.8,2003,01-072-8057,,
99290,F d -3 m Z,Bi2 (Ga Ta O7),Ca2Nb2O7,"Journal of Alloys and Compounds (2004) 377,  p. 248-252",10.4478(3) 10.4478(3) 10.4478(3) 90 90 90,293,A2B2X7,Dibismuth gallotantalate,,,9.09,2004,01-074-4107,,
99291,F d -3 m Z,Bi2 (In Ta O7),Ca2Nb2O7,"Journal of Alloys and Compounds (2004) 377,  p. 248-252",10.7612(2) 10.7612(2) 10.7612(2) 90 90 90,293,A2B2X7,Dibismuth indiotantalate,,,8.8,2004,01-074-4108,,
99436,F d -3 m Z,Bi2 (Ti2 O7),Bi2Ti2O7,"Journal of Solid State Chemistry (2004) 177,  p. 139-145",10.35907(5) 10.35907(5) 10.35907(5) 90 90 90,2,A2B2X7,Dibismuth dititanate,,,7.48,2004,01-074-4249,,
99437,F d -3 m Z,Bi2 (Ti2 O7),Bi2Ti2O7,"Journal of Solid State Chemistry (2004) 177,  p. 139-145",10.37949(4) 10.37949(4) 10.37949(4) 90 90 90,290,A2B2X7,Dibismuth dititanate,,,7.43,2004,01-074-4250,,
99758,F d -3 m Z,Bi2 ((Cr Ta) O6) O,Ca2Nb2O7,"Materials Research Bulletin (2004) 39,  p. 553-560",10.45229(8) 10.45229(8) 10.45229(8) 90 90 90,293,A2B2X7,Bismuth chromium tantalum oxide (2/1/1/7),,,8.88,2004,01-074-4559,,
99759,F d -3 m Z,Bi2 ((Cr Ta) O6) O,Ca2Nb2O7,"Materials Research Bulletin (2004) 39,  p. 553-560",10.45097(8) 10.45097(8) 10.45097(8) 90 90 90,293,A2B2X7,Bismuth chromium tantalum oxide (2/1/1/7),,,8.88,2004,01-074-4560,,
99978,F d -3 m Z,(Sm1.89 Mg0.11) (Ti2 O6.945),Ca2Nb2O7,"Solid State Sciences (2004) 6,  p. 71-76",10.216(4) 10.216(4) 10.216(4) 90 90 90,293,A2B2X7,Samarium magnesium titanium oxide (1.89/0.11/2/6.95),,,6.15,2004,01-074-4755,,
99982,F d -3 m Z,(Sm1.89 Co0.11) (Ti2 O6.945),Ca2Nb2O7,"Solid State Sciences (2004) 6,  p. 71-76",10.215(4) 10.215(4) 10.215(4) 90 90 90,293,A2B2X7,Samarium cobalt titanium oxide (1.89/0.11/2/6.95),,,6.2,2004,01-074-4759,,
99986,F d -3 m Z,(Sm1.89 Ni0.11) (Ti2 O6.945),Ca2Nb2O7,"Solid State Sciences (2004) 6,  p. 71-76",10.219(3) 10.219(3) 10.219(3) 90 90 90,293,A2B2X7,Samarium nickel titanium oxide (1.89/0.11/2/6.95),,,6.19,2004,01-074-4763,,
107615,F d -3 m Z,(Na0.80 Ca0.70 U0.44 Ce0.02 Sr0.02) (Nb1.1 Ti0.53 Ta0.32 Fe0.05) O6 O H,K1-xNb2O7(OH)1+y,"Mineralogical Magazine (1989) 53,  p. 257-262",10.38(5) 10.38(5) 10.38(5) 90. 90. 90.,293,A2B2X7,Sodium calcium uranium niobium titanium tantalum iron oxide hydroxide (.8/.7/.45/1.1/.53/.32/.05/6/1),,,5.43,1989,01-082-8035,,
108765,F d -3 m Z,Eu2 (Zr2 O7),Eu2Zr2O7,"Journal of Solid State Chemistry (1975) 12,  p. 1-11",10.552 10.552 10.552 90. 90. 90.,293,A2B2X7,Dieuropium dizirconate,,,6.77,1975,01-074-6142,,
108766,F d -3 m Z,Sm2 (Mo2 O7),Ca2Nb2O7,"Bulletin de la Societe Chimique de France (1975) 1975,  p. 2463-2464",10.4 10.4 10.4 90. 90. 90.,293,A2B2X7,Disamarium dimolybdate(IV),,,7.14,1975,01-074-6143,,
108769,F d -3 m Z,Sm2 (Mo2 O7),Ca2Nb2O7,"Bulletin de la Societe Chimique de France (1975) 1975,  p. 2463-2464",10.4 10.4 10.4 90. 90. 90.,293,A2B2X7,Disamarium dimolybdate(IV),,,7.14,1975,01-074-6146,,
109079,F d -3 m Z,Sm2 (Tc2 O7),Ca2Nb2O7,"Journal of Inorganic and Nuclear Chemistry (1964) 26,  p. 2075-2086",10.352 10.352 10.352 90. 90. 90.,293,A2B2X7,Disamarium ditechnate(IV),,,7.31,1964,01-074-6436,,
109080,F d -3 m Z,Dy2 (Tc2 O7),Ca2Nb2O7,"Journal of Inorganic and Nuclear Chemistry (1964) 26,  p. 2075-2086",10.246 10.246 10.246 90. 90. 90.,293,A2B2X7,Didysprosium ditechnate(IV),,,7.84,1964,01-074-6437,,
109081,F d -3 m Z,Er2 (Tc2 O7),Ca2Nb2O7,"Journal of Inorganic and Nuclear Chemistry (1964) 26,  p. 2075-2086",10.194 10.194 10.194 90. 90. 90.,293,A2B2X7,Dierbium ditechnate(IV),,,8.08,1964,01-074-6438,,
109308,F d -3 m Z,Lu2 (Ru2 O7),Ca2Nb2O7,"Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences (1959) 249,  p. 829-831",10.0752(2) 10.0752(2) 10.0752(2) 90. 90. 90.,293,A2B2X7,Dilutetium diruthenate(IV),,,8.63,1959,01-074-6658,,
112139,F d -3 m Z,Tl2 Ir2 O7,Ca2Nb2O7,"Inorganic Chemistry (2021) 60, (7) p. 4424-4433",10.18258(5) 10.18258(5) 10.18258(5) 90 90 90,293,A2B2X7,Dithallium(III) heptaoxodiiridate(IV),,,11.41,2021,01-090-8706,,
112533,F d -3 m Z,Ho2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1006(1) 10.1006(1) 10.1006(1) 90. 90. 90.,293,A2B2X7,Diholmium heptaoxodititanate,,,6.93,2019,01-090-8952,,
112534,F d -3 m Z,Dy2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1270(1) 10.1270(1) 10.1270(1) 90. 90. 90.,293,A2B2X7,Didysprosium heptaoxodititanate,,,6.81,2019,01-090-8953,,
112535,F d -3 m Z,Ho2 Ti1.85 Fe0.15 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1013(4) 10.1013(4) 10.1013(4) 90. 90. 90.,293,A2B2X7,Holmium titanium iron oxide (2/1.85/0.15/7),,,6.95,2019,01-090-8954,,
112536,F d -3 m Z,(Ho1.8 Fe0.2) Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.0804 10.0804 10.0804 90. 90. 90.,293,A2B2X7,Holmium iron heptaoxodititanate (1.8/0.2/7),,,6.69,2019,01-090-8955,,
112537,F d -3 m Z,Dy2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1109(1) 10.1109(1) 10.1109(1) 90. 90. 90.,150,A2B2X7,Didysprosium heptaoxodititanate,,,6.85,2019,01-090-8956,,
112538,F d -3 m Z,Dy2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1081(1) 10.1081(1) 10.1081(1) 90. 90. 90.,110,A2B2X7,Didysprosium heptaoxodititanate,,,6.85,2019,01-090-8957,,
112539,F d -3 m Z,Dy2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1062(1) 10.1062(1) 10.1062(1) 90. 90. 90.,70,A2B2X7,Didysprosium heptaoxodititanate,,,6.86,2019,01-090-8958,,
112540,F d -3 m Z,Dy2 Ti2 O7,Ca2Nb2O7,"Journal of Physics and Chemistry of Solids (2019) 134,  p. 201-208",10.1045(1) 10.1045(1) 10.1045(1) 90. 90. 90.,30,A2B2X7,Didysprosium heptaoxodititanate,,,6.86,2019,01-090-8959,,
112975,F d -3 m Z,Gd2 Ga Sb O7,Ca2Nb2O7,"Dalton Transactions (2021) 50, (38) p. 13459-13467",10.26755 10.26755 10.26755 90. 90. 90.,293,A2B2X7,Digadolinium gallium antimony heptaoxide : 0.06Cr(3+)-doped,,,7.58,2021,,,
112976,F d -3 m Z,Gd2 Ga Sb O7,Ca2Nb2O7,"Dalton Transactions (2021) 50, (38) p. 13459-13467",10.267962 10.267962 10.267962 90. 90. 90.,293,A2B2X7,"Digadolinium gallium antimony heptaoxide : 0.06Cr(3+),0.06Yb(3+) -doped",,,7.58,2021,01-090-9167,,
117424,F d -3 m Z,La2 Pb2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2015) 91, (10)  Article ID 104417 (p. 1-9)",10.9682(4) 10.9682(4) 10.9682(4) 90. 90. 90.,293,A2B2X7,Dilanthanum heptaoxodiplumbate(IV),,,8.09,2015,,,
117425,F d -3 m Z,Nd2 Pb2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2015) 91, (10)  Article ID 104417 (p. 1-9)",10.8336(4) 10.8336(4) 10.8336(4) 90. 90. 90.,293,A2B2X7,Dineodymium heptaoxodiplumbate(IV),,,8.51,2015,,,
117426,F d -3 m Z,Gd2 Pb2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2015) 91, (10)  Article ID 104417 (p. 1-9)",10.7292(8) 10.7292(8) 10.7292(8) 90. 90. 90.,293,A2B2X7,Digadolinium heptaoxodiplumbate(IV),,,9.04,2015,,,
117756,F d -3 m Z,Pr2 Fe Sb O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2013) 198,  p. 316-322",10.43945(8) 10.43945(8) 10.43945(8) 90. 90. 90.,293,A2B2X7,Dipraseodymium heptaoxoferroantimonate,,,6.67,2013,,,
117758,F d -3 m Z,Bi1.8 Fe0.2 (Fe1.05 Sb0.95) O7,Bi2Ti2O7,"Journal of Solid State Chemistry (2013) 198,  p. 316-322",10.44945(6) 10.44945(6) 10.44945(6) 90. 90. 90.,293,A2B2X7,Bismuth iron(III) antimony oxide (1.8/1.25/0.95/7),,,7.84,2013,,,
117759,F d -3 m Z,Bi1.81 Fe0.16 (Fe1.05 Sb0.95) O7,Bi2Ti2O7,"Journal of Solid State Chemistry (2013) 198,  p. 316-322",10.46793(5) 10.46793(5) 10.46793(5) 90. 90. 90.,293,A2B2X7,Bismuth iron(III) antimony oxide (1.8/1.22/0.95/7),,,7.8,2013,,,
117790,F d -3 m Z,Lu2 Mo2 O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2013) 203,  p. 199-203",10.1478(1) 10.1478(1) 10.1478(1) 90. 90. 90.,293,A2B2X7,Dilutetium heptaoxodimolybdate,,,8.31,2013,,,
117957,F d -3 m Z,Sm2 In Ta O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2010) 183, (1) p. 192-197",10.5448(2) 10.5448(2) 10.5448(2) 90. 90. 90.,293,A2B2X7,Disamarium indium tantalum heptaoxide,,,8.03,2010,,,
118470,F d -3 m Z,Am2 Zr2 O7,Eu2Zr2O7,"Inorganic Chemistry (2009) 48, (12) p. 5376-5381",10.6678(1) 10.6678(1) 10.6678(1) 90. 90. 90.,293,A2B2X7,Diamericium dizirconium heptaoxide,,,8.54,2009,,,
118471,F d -3 m Z,Am2 Zr2 O7,Eu2Zr2O7,"Inorganic Chemistry (2009) 48, (12) p. 5376-5381",10.6686(1) 10.6686(1) 10.6686(1) 90. 90. 90.,293,A2B2X7,Diamericium dizirconium heptaoxide,,,8.53,2009,,,
118472,F d -3 m Z,Am2 Zr2 O7,Eu2Zr2O7,"Inorganic Chemistry (2009) 48, (12) p. 5376-5381",10.6605(2) 10.6605(2) 10.6605(2) 90. 90. 90.,293,A2B2X7,Diamericium dizirconium heptaoxide,,,8.56,2009,,,
118473,F d -3 m Z,Am2 Zr2 O7,Eu2Zr2O7,"Inorganic Chemistry (2009) 48, (12) p. 5376-5381",10.6505(2) 10.6505(2) 10.6505(2) 90. 90. 90.,293,A2B2X7,Diamericium dizirconium heptaoxide,,,8.58,2009,,,
118474,F d -3 m Z,Am2 Zr2 O7,Eu2Zr2O7,"Inorganic Chemistry (2009) 48, (12) p. 5376-5381",10.6489(4) 10.6489(4) 10.6489(4) 90. 90. 90.,293,A2B2X7,Diamericium dizirconium heptaoxide,,,8.59,2009,,,
120102,F d -3 m Z,Gd2 (Ti0.65 Zr0.35)2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2007) 75, (18)  Article ID 184303 (p. 1-8)",10.3208(2) 10.3208(2) 10.3208(2) 90. 90. 90.,293,A2B2X7,Gadolinium titanium zirconium oxide (2/1.3/0.7/7),,,6.68,2007,01-087-3759,,
120103,F d -3 m Z,Gd2 (Ti0.65 Zr0.35)2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2007) 75, (18)  Article ID 184303 (p. 1-8)",10.3171(1) 10.3171(1) 10.3171(1) 90. 90. 90.,293,A2B2X7,Gadolinium titanium zirconium oxide (2/1.3/0.7/7),,,6.68,2007,01-087-3760,,
120104,F d -3 m Z,Gd2 (Ti0.65 Zr0.35)2 O7,Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2007) 75, (18)  Article ID 184303 (p. 1-8)",10.3171(1) 10.3171(1) 10.3171(1) 90. 90. 90.,293,A2B2X7,Gadolinium titanium zirconium oxide (2/1.3/0.7/7),,,6.68,2007,,,
120654,F d -3 m Z,(Ce0.25 Mn0.75)2 (Ga0.25 Sb0.75)2 O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2019) 278,   Article ID 120898 (p. 1-5)",10.1382(1) 10.1382(1) 10.1382(1) 90. 90. 90.,295,A2B2X7,Cerium manganese gallium antimony oxide,,,6.14,2019,01-088-6132,,
121049,F d -3 m Z,Yb2.0517 Ti1.9483 O6.97415,Eu2Zr2O7,"Journal of Solid State Chemistry (2020) 287,   Article ID 121328",10.04319(6) 10.04319(6) 10.04319(6) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.05/1.95/6.97),,,7.34,2020,01-088-6317,,
122289,F d -3 m Z,Yb2 Ti2 O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.033151(5) 10.033151(5) 10.033151(5) 90. 90. 90.,293,A2B2X7,Diytterbium dititanate,,,7.29,2021,01-091-0340,,
122290,F d -3 m Z,Yb2 (Ti1.933 Yb0.067) O6.9665,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.042773(13) 10.042773(13) 10.042773(13) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.97),,,7.37,2021,01-091-0341,,
122291,F d -3 m Z,Yb2 (Ti1.932 Yb0.068) O6.966,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.04570(4) 10.04570(4) 10.04570(4) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.97),,,7.36,2021,01-091-0342,,
122292,F d -3 m Z,Yb2 (Ti1.926 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.0611(2) 10.0611(2) 10.0611(2) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.34,2021,01-091-0343,,
122293,F d -3 m Z,Yb2 (Ti1.928 Yb0.072) O6.964,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.05808(5) 10.05808(5) 10.05808(5) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.34,2021,01-091-0344,,
122295,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.0586(10) 10.0586(10) 10.0586(10) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.34,2021,01-091-0346,,
122297,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.9815,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.07414(18) 10.07414(18) 10.07414(18) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.98),,,7.31,2021,01-091-0348,,
122298,F d -3 m Z,(Yb1.752 Ti0.248) (Ti1.776 Yb0.224) O7.012,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.11641(6) 10.11641(6) 10.11641(6) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (1.98/2.02/7.01),,,7.07,2021,01-091-0349,,
122299,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.0642(2) 10.0642(2) 10.0642(2) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.33,2021,01-091-0350,,
122300,F d -3 m Z,(Yb1.722 Ti0.278) (Ti1.732 Yb0.268) O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.1301(10) 10.1301(10) 10.1301(10) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (1.99/2.01/7),,,7.06,2021,01-091-0351,,
122301,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.0780(3) 10.0780(3) 10.0780(3) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.3,2021,01-091-0352,,
122303,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.05601(17) 10.05601(17) 10.05601(17) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.35,2021,01-091-0354,,
122304,F d -3 m Z,(Yb1.22 Ti0.78) (Ti1.506 Yb0.494) O7,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.1476(4) 10.1476(4) 10.1476(4) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (1.71/2.29/7),,,6.59,2021,01-091-0355,,
122305,F d -3 m Z,Yb2 (Ti1.928 Yb0.074) O6.963,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.0584(3) 10.0584(3) 10.0584(3) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (2.07/1.93/6.96),,,7.34,2021,01-091-0356,,
122306,F d -3 m Z,(Yb0.30 Ti1.70) (Ti0.66 Yb1.34) O7.18,Ca2Nb2O7,"Journal of Solid State Chemistry (2021) 302,   Article ID 122412",10.1522(2) 10.1522(2) 10.1522(2) 90. 90. 90.,293,A2B2X7,Ytterbium titanium oxide (1.64/2.36/7.18),,,6.5,2021,01-091-0357,,
